OBJECTID	SEG_ID	STREETNAME	ST_CODE	ONEWAY	CLASS	TYPE	Shape__Length
1	421454	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000801929
2	421453	FAIRMOUNT  AVE	33280	B	3	Conventional	0.00108906
3	420550	N  15TH  ST	88070	TF	4	Sharrow	0.000667481
4	420504	N  15TH  ST	88070	TF	4	Sharrow	0.000708165
5	420713	N  18TH  ST	88130	FT	3	Sharrow	0.000478774
6	420734	N  18TH  ST	88130	FT	3	Sharrow	0.000307626
7	420763	N  18TH  ST	88130	FT	3	Sharrow	0.000759878
8	422158	N  18TH  ST	88130	B	3	Sharrow	0.000443249
9	421388	N  18TH  ST	88130	FT	3	Sharrow	0.000941059
10	421390	N  18TH  ST	88130	FT	3	Sharrow	0.000457355
11	421389	N  18TH  ST	88130	FT	3	Sharrow	0.000576627
12	421323	S  18TH  ST	88140	TF	3	Sharrow	0.000331748
13	421410	N  21ST  ST	88190	TF	3	Sharrow	0.000401204
14	421411	N  21ST  ST	88190	TF	3	Sharrow	0.000106533
15	422165	N  21ST  ST	88190	TF	3	Sharrow	0.000535488
16	421412	N  21ST  ST	88190	TF	3	Sharrow	0.000449019
17	422912	N  21ST  ST	88190	TF	3	Sharrow	0.00058653
18	422914	N  22ND  ST	88210	FT	3	Conventional	0.000571638
19	421986	S  21ST  ST	88200	FT	3	Sharrow	0.000506634
20	421988	S  21ST  ST	88200	FT	3	Sharrow	0.000347297
21	421987	S  21ST  ST	88200	FT	3	Sharrow	0.000118632
22	421409	N  22ND  ST	88210	FT	3	Conventional	0.000426995
23	422910	N  22ND  ST	88210	FT	3	Conventional	0.000136635
24	420838	N  22ND  ST	88210	FT	3	Conventional	0.000928977
25	421408	N  22ND  ST	88210	FT	3	Conventional	0.000950727
26	421428	N  21ST  ST	88190	TF	3	Sharrow	0.000917689
27	420813	N  21ST  ST	88190	TF	3	Sharrow	0.000707911
28	420793	N  21ST  ST	88190	TF	3	Sharrow	0.000669534
29	421792	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001623879
30	421791	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001407597
31	422076	N  21ST  ST	88190	TF	3	Sharrow	0.001167369
32	420751	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.002099462
33	422074	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.001758767
34	420700	N  21ST  ST	88190	TF	3	Sharrow	0.000222339
35	420659	N  22ND  ST	88210	FT	3	Conventional	0.000235165
36	420671	N  22ND  ST	88210	FT	3	Conventional	0.000256609
37	420662	N  22ND  ST	88210	FT	3	Conventional	0.000161295
38	420729	BENJAMIN FRANKLIN  PKWY	16880	TF	2	Conventional	0.001735581
39	420728	N  21ST  ST	88190	TF	3	Sharrow	0.000247904
40	421302	SANSOM  ST	70940	FT	3	Sharrow	0.001583473
41	421999	S  18TH  ST	88140	TF	3	Sharrow	0.000458876
42	421998	S  18TH  ST	88140	TF	3	Sharrow	0.000329308
43	421326	S  18TH  ST	88140	TF	3	Sharrow	0.000250003
44	421336	S  18TH  ST	88140	TF	3	Sharrow	0.0001359
45	421324	S  18TH  ST	88140	TF	3	Sharrow	0.000426637
46	421325	S  18TH  ST	88140	TF	3	Sharrow	0.000525504
47	421307	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001593412
48	421308	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001578838
49	421228	S  21ST  ST	88200	FT	3	Sharrow	0.000427173
50	421227	S  21ST  ST	88200	FT	3	Sharrow	0.000349918
51	421298	S  21ST  ST	88200	FT	3	Sharrow	0.000570383
52	421300	SANSOM  ST	70940	FT	3	Sharrow	0.001579685
53	421272	SANSOM  ST	70940	FT	3	Sharrow	0.001930901
54	421309	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.00158637
55	422089	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001932227
56	421267	S  22ND  ST	88220	TF	3	Conventional	0.000433161
57	421284	S  22ND  ST	88220	TF	3	Conventional	8.15E-05
58	420129	POPLAR  DR	65257	B	3	Conventional	0.001996046
59	421098	POPLAR  DR	65257	B	3	Conventional	0.002194702
60	422356	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.001174703
61	421793	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001626797
62	421819	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001043251
63	421820	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.001064366
64	421821	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.000736594
65	422008	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.000609479
66	421338	N  15TH  ST	88070	TF	2	Paint Buffered	0.001045089
67	422336	CHESTNUT  ST	22820	TF	2	Conventional	0.000257678
68	421906	N  34TH  ST	88460	TF	2	Conventional	0.000562511
69	422025	LANCASTER  AVE	48900	B	2	Conventional	0.000643706
70	421126	N  34TH  ST	88460	TF	2	Conventional	0.000725343
71	421970	N  34TH  ST	88460	TF	2	Conventional	0.000757256
72	421967	S  34TH  ST	88470	FT	2	Conventional	0.000776875
73	422207	S  33RD  ST	88450	TF	3	Paint Buffered	0.00078216
74	421968	S  34TH  ST	88470	FT	2	Conventional	0.000768838
75	421916	CHESTNUT  ST	22820	TF	2	Conventional	0.002075346
76	421921	S  33RD  ST	88450	TF	3	Paint Buffered	0.000754383
77	421969	S  34TH  ST	88470	FT	2	Conventional	0.000779107
78	420707	N  21ST  ST	88190	TF	3	Sharrow	0.000159036
79	420530	SPRING GARDEN  ST	73800	TF	2	Conventional	0.001608941
80	420613	N  21ST  ST	88190	TF	3	Sharrow	0.001347087
81	422073	N  21ST  ST	88190	TF	3	Sharrow	0.000851859
82	421168	S  15TH  ST	88080	FT	3	Sharrow	0.00033955
83	421167	S  15TH  ST	88080	FT	3	Sharrow	0.000461204
84	421197	S  18TH  ST	88140	TF	3	Sharrow	0.000134139
85	421198	S  18TH  ST	88140	TF	3	Sharrow	0.000255752
86	421169	S  15TH  ST	88080	FT	3	Sharrow	0.000447644
87	421960	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000537921
88	421956	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001046684
89	421955	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000569551
90	421196	S  18TH  ST	88140	TF	3	Sharrow	0.000464774
91	421199	S  18TH  ST	88140	TF	3	Sharrow	0.000384653
92	421950	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001578892
93	421954	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001025091
94	422352	S  22ND  ST	88220	TF	3	Conventional	0.000509718
95	422351	S  22ND  ST	88220	TF	3	Conventional	0.000174508
96	422973	S  22ND  ST	88220	TF	3	Conventional	0.000479889
97	421238	LOCUST  ST	51380	TF	4	Sharrow	0.001165551
98	421235	S  22ND  ST	88220	TF	3	Conventional	0.00037501
99	421935	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000808668
100	421934	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001587607
101	421937	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001931645
102	421936	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000807008
103	421234	S  22ND  ST	88220	TF	3	Conventional	0.000248197
104	421233	S  22ND  ST	88220	TF	3	Conventional	0.000251183
105	421232	S  22ND  ST	88220	TF	3	Conventional	0.000373008
106	421978	SPRUCE  ST	73960	FT	4	Sharrow	0.001159343
107	422085	S  21ST  ST	88200	FT	3	Sharrow	0.000614199
108	422349	S  21ST  ST	88200	FT	3	Sharrow	0.000307816
109	422967	S  21ST  ST	88200	FT	3	Sharrow	0.00032372
110	421230	S  21ST  ST	88200	FT	3	Sharrow	0.000339088
111	421229	S  21ST  ST	88200	FT	3	Sharrow	0.000139744
112	421949	SPRUCE  ST	73960	FT	3	Paint Buffered	0.00158047
113	421195	S  18TH  ST	88140	TF	3	Sharrow	0.0005804
114	421194	S  18TH  ST	88140	TF	3	Sharrow	0.000583717
115	421236	WALNUT  ST	81140	FT	2	Paint Buffered	0.001165237
116	421270	SANSOM  ST	70940	FT	3	Sharrow	0.001169958
117	421231	S  22ND  ST	88220	TF	3	Conventional	0.000783682
118	421264	SANSOM  ST	70940	B	5	Sharrow	0.000478109
119	421289	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001155973
120	421269	S  22ND  ST	88220	TF	3	Conventional	0.000779142
121	421290	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.000816725
122	421288	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.000790081
123	421226	S  21ST  ST	88200	FT	3	Sharrow	0.000780057
124	421271	SANSOM  ST	70940	FT	3	Sharrow	0.000798701
125	421977	SPRUCE  ST	73960	FT	5	Sharrow	0.001033763
126	421942	S  24TH  ST	88270	FT	5	Sharrow	0.000379144
127	421258	S  24TH  ST	88270	FT	5	Sharrow	0.000879882
128	421255	LOCUST  ST	51380	TF	4	Sharrow	0.000526111
129	421256	LOCUST  ST	51380	TF	4	Sharrow	0.000510965
130	421260	S  25TH  ST	88290	TF	4	Sharrow	0.000866257
131	421259	LOCUST  ST	51380	TF	4	Sharrow	0.001116502
132	421945	S  25TH  ST	88290	TF	4	Sharrow	0.000380195
133	421976	SPRUCE  ST	73960	FT	5	Sharrow	0.001120609
134	422227	WALNUT  ST	81140	FT	2	Paint Buffered	0.001278819
135	421925	CHESTNUT  ST	22820	TF	2	Conventional	0.001536801
136	421975	S  30TH  ST	88390	FT	4	Conventional	0.001564829
137	421989	CHESTNUT  ST	22820	TF	2	Conventional	0.001820452
138	422362	CHESTNUT  ST	22820	TF	2	Conventional	0.00213736
139	420764	N  21ST  ST	88190	TF	3	Sharrow	0.000929775
140	420797	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.000796386
141	422344	N  18TH  ST	88130	FT	3	Sharrow	0.001460675
142	421322	S  18TH  ST	88140	TF	3	Sharrow	0.000653085
143	421137	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001596729
144	421147	S  15TH  ST	88080	FT	3	Paint Buffered	0.000641338
145	421140	SANSOM  ST	70940	FT	3	Sharrow	0.001586455
146	421141	SANSOM  ST	70940	FT	3	Sharrow	0.001591316
147	421150	S  15TH  ST	88080	FT	3	Sharrow	0.000485793
148	421151	S  15TH  ST	88080	FT	3	Sharrow	0.000283288
149	421337	S  15TH  ST	88080	FT	2	Paint Buffered	0.000300519
150	421153	S  15TH  ST	88080	FT	3	Sharrow	0.00042834
151	421155	S  15TH  ST	88080	FT	3	Sharrow	0.000528716
152	421154	S  15TH  ST	88080	FT	3	Sharrow	0.00063646
153	421152	S  15TH  ST	88080	FT	3	Sharrow	0.000354214
