station_id,coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,name,timeZone,totalDocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per
3004,-75.16374,39.95378,Point,1401 John F. Kennedy Blvd.,19102,10,15,Municipal Services Building Plaza,Eastern Standard Time,25,20182,0.80,39.95378,-75.16374,9717,10465,48.1%,51.9%,1.48%,1.61%,1.55%
3005,-75.14403,39.94733,Point,191 S. 2nd St.,19106,4,9,"Welcome Park, NPS",Eastern Standard Time,13,9095,-0.34,39.94733,-75.14403,4283,4812,47.1%,52.9%,0.65%,0.74%,0.70%
3006,-75.20311,39.9522,Point,246 S. 40th St.,19104,7,10,40th & Spruce,Eastern Standard Time,17,15788,0.35,39.95220,-75.20311,8367,7421,53.0%,47.0%,1.28%,1.14%,1.21%
3007,-75.15993,39.94517,Point,328 S. 11th St.,19107,12,3,"11th & Pine, Kahn Park",Eastern Standard Time,15,25366,1.34,39.94517,-75.15993,12424,12942,49.0%,51.0%,1.90%,1.99%,1.94%
3008,-75.15055,39.98078,Point,1076 Berks Street,19122,5,14,Temple University Station,Eastern Standard Time,19,4772,-0.79,39.98078,-75.15055,2453,2319,51.4%,48.6%,0.37%,0.36%,0.37%
3009,-75.18982,39.95576,Point,3318 Market St.,19104,5,9,33rd & Market,Eastern Standard Time,14,21451,0.93,39.95576,-75.18982,10361,11090,48.3%,51.7%,1.58%,1.71%,1.64%
3010,-75.16618,39.94711,Point,1483 Spruce St.,19102,12,7,15th & Spruce,Eastern Standard Time,19,39368,2.79,39.94711,-75.16618,19752,19616,50.2%,49.8%,3.02%,3.02%,3.02%
3011,-75.19701,39.96046,Point,3801 Lancaster Avenue,19104,5,3,38th & Lancaster,Eastern Standard Time,8,6798,-0.58,39.96046,-75.19701,3643,3155,53.6%,46.4%,0.56%,0.49%,0.52%
3012,-75.17747,39.94218,Point,807 S. 21st St.,19149,11,16,21st & Catharine,Eastern Standard Time,27,23675,1.16,39.94218,-75.17747,12056,11619,50.9%,49.1%,1.84%,1.79%,1.81%
3013,-75.14792,39.96317,Point,674 N. 6th St.,19123,7,8,6th & Fairmount,Eastern Standard Time,15,6767,-0.59,39.96317,-75.14792,3492,3275,51.6%,48.4%,0.53%,0.50%,0.52%
3014,-75.17369,39.95886,Point,2090 Winter St.,19103,2,23,"21st & Winter, Franklin Institute",Eastern Standard Time,25,14157,0.18,39.95886,-75.17369,7010,7147,49.5%,50.5%,1.07%,1.10%,1.08%
3015,-75.14886,39.94735,Point,422 Walnut St.,19106,3,8,"4th & Walnut, NPS",Eastern Standard Time,11,11301,-0.12,39.94735,-75.14886,5396,5905,47.7%,52.3%,0.82%,0.91%,0.87%
3016,-75.1547,39.96892,Point,1100 Poplar St.,19123,3,12,"11th & Poplar, John F. Street Community Center",Eastern Standard Time,15,839,-1.20,39.96892,-75.15470,420,419,50.1%,49.9%,0.06%,0.06%,0.06%
3017,-75.14371,39.98003,Point,527 W. Berks St.,19122,5,10,6th & Berks,Eastern Standard Time,15,2098,-1.07,39.98003,-75.14371,959,1139,45.7%,54.3%,0.15%,0.18%,0.16%
3018,-75.15979,39.95273,Point,1200 Filbert St.,19107,9,9,12th & Filbert,Eastern Standard Time,18,23183,1.11,39.95273,-75.15979,11526,11657,49.7%,50.3%,1.76%,1.79%,1.78%
3019,-75.14983,39.95403,Point,160 N. 6th St.,19106,5,10,6th & Race,Eastern Standard Time,15,7680,-0.49,39.95403,-75.14983,3893,3787,50.7%,49.3%,0.59%,0.58%,0.59%
3020,-75.18986,39.94887,Point,3051 South St.,19147,10,25,University City Station,Eastern Standard Time,35,25694,1.37,39.94887,-75.18986,13770,11924,53.6%,46.4%,2.10%,1.83%,1.97%
3021,-75.16902,39.9539,Point,1750 John F. Kennedy Blvd.,19103,9,25,18th & JFK,Eastern Standard Time,34,40629,2.92,39.95390,-75.16902,18503,22126,45.5%,54.5%,2.82%,3.40%,3.11%
3022,-75.18323,39.95472,Point,2933 Market Street,19104,5,16,Amtrak 30th Street Station,Eastern Standard Time,21,31204,1.94,39.95472,-75.18323,15623,15581,50.1%,49.9%,2.39%,2.40%,2.39%
3023,-75.17286,39.95048,Point,1911 Walnut St,19103,9,11,Rittenhouse Square,Eastern Standard Time,21,53299,4.23,39.95048,-75.17286,26133,27166,49.0%,51.0%,3.99%,4.18%,4.08%
3024,-75.20908,39.94822,Point,598 S. 43rd St.,19104,13,3,"43rd & Chester, Clark Park",Eastern Standard Time,19,9586,-0.29,39.94822,-75.20908,4895,4691,51.1%,48.9%,0.75%,0.72%,0.73%
