coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,station_id,name,timeZone,totalDocks
-75.16374,39.95378,Point,1401 John F. Kennedy Blvd.,19102,10,15,3004,Municipal Services Building Plaza,Eastern Standard Time,25
-75.14403,39.94733,Point,191 S. 2nd St.,19106,4,9,3005,"Welcome Park, NPS",Eastern Standard Time,13
-75.20311,39.9522,Point,246 S. 40th St.,19104,7,10,3006,40th & Spruce,Eastern Standard Time,17
-75.15993,39.94517,Point,328 S. 11th St.,19107,12,3,3007,"11th & Pine, Kahn Park",Eastern Standard Time,15
-75.15055,39.98078,Point,1076 Berks Street,19122,5,14,3008,Temple University Station,Eastern Standard Time,19
-75.18982,39.95576,Point,3318 Market St.,19104,5,9,3009,33rd & Market,Eastern Standard Time,14
-75.16618,39.94711,Point,1483 Spruce St.,19102,12,7,3010,15th & Spruce,Eastern Standard Time,19
-75.19701,39.96046,Point,3801 Lancaster Avenue,19104,5,3,3011,38th & Lancaster,Eastern Standard Time,8
-75.17747,39.94218,Point,807 S. 21st St.,19149,11,16,3012,21st & Catharine,Eastern Standard Time,27
-75.14792,39.96317,Point,674 N. 6th St.,19123,7,8,3013,6th & Fairmount,Eastern Standard Time,15
-75.17369,39.95886,Point,2090 Winter St.,19103,2,23,3014,"21st & Winter, Franklin Institute",Eastern Standard Time,25
-75.14886,39.94735,Point,422 Walnut St.,19106,3,8,3015,"4th & Walnut, NPS",Eastern Standard Time,11
-75.1547,39.96892,Point,1100 Poplar St.,19123,3,12,3016,"11th & Poplar, John F. Street Community Center",Eastern Standard Time,15
-75.14371,39.98003,Point,527 W. Berks St.,19122,5,10,3017,6th & Berks,Eastern Standard Time,15
-75.15979,39.95273,Point,1200 Filbert St.,19107,9,9,3018,12th & Filbert,Eastern Standard Time,18
-75.14983,39.95403,Point,160 N. 6th St.,19106,5,10,3019,6th & Race,Eastern Standard Time,15
-75.18986,39.94887,Point,3051 South St.,19147,10,25,3020,University City Station,Eastern Standard Time,35
-75.16902,39.9539,Point,1750 John F. Kennedy Blvd.,19103,9,25,3021,18th & JFK,Eastern Standard Time,34
